run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-28,2026-06-28,univariate,2026-06-29,1,RH2m,ensemble,49.824,%
2026-06-28,2026-06-28,univariate,2026-06-29,1,PRmsl,hqnn,99980.227,Pa
2026-06-28,2026-06-28,univariate,2026-06-29,1,PRmsl,ensemble,99980.227,Pa
2026-06-28,2026-06-28,univariate,2026-06-30,2,TMP2m,hqnn,35.286,°C
2026-06-28,2026-06-28,univariate,2026-06-30,2,TMP2m,ensemble,35.286,°C
2026-06-28,2026-06-28,univariate,2026-06-30,2,RH2m,hqnn,49.011,%
2026-06-28,2026-06-28,univariate,2026-06-30,2,RH2m,ensemble,49.011,%
2026-06-28,2026-06-28,univariate,2026-06-30,2,PRmsl,hqnn,99877.062,Pa
2026-06-28,2026-06-28,univariate,2026-06-30,2,PRmsl,ensemble,99877.062,Pa
2026-06-28,2026-06-28,univariate,2026-07-01,3,TMP2m,hqnn,32.19,°C
2026-06-28,2026-06-28,univariate,2026-07-01,3,TMP2m,ensemble,32.19,°C
2026-06-28,2026-06-28,univariate,2026-07-01,3,RH2m,hqnn,53.34,%
2026-06-28,2026-06-28,univariate,2026-07-01,3,RH2m,ensemble,53.34,%
2026-06-28,2026-06-28,univariate,2026-07-01,3,PRmsl,hqnn,100012.578,Pa
2026-06-28,2026-06-28,univariate,2026-07-01,3,PRmsl,ensemble,100012.578,Pa
2026-06-28,2026-06-28,univariate,2026-07-02,4,TMP2m,hqnn,34.693,°C
2026-06-28,2026-06-28,univariate,2026-07-02,4,TMP2m,ensemble,34.693,°C
2026-06-28,2026-06-28,univariate,2026-07-02,4,RH2m,hqnn,49.018,%
2026-06-28,2026-06-28,univariate,2026-07-02,4,RH2m,ensemble,49.018,%
2026-06-28,2026-06-28,univariate,2026-07-02,4,PRmsl,hqnn,99908.578,Pa
2026-06-28,2026-06-28,univariate,2026-07-02,4,PRmsl,ensemble,99908.578,Pa
2026-06-28,2026-06-28,univariate,2026-07-03,5,TMP2m,hqnn,32.193,°C
2026-06-28,2026-06-28,univariate,2026-07-03,5,TMP2m,ensemble,32.193,°C
2026-06-28,2026-06-28,univariate,2026-07-03,5,RH2m,hqnn,55.359,%
2026-06-28,2026-06-28,univariate,2026-07-03,5,RH2m,ensemble,55.359,%
2026-06-28,2026-06-28,univariate,2026-07-03,5,PRmsl,hqnn,100040.133,Pa
2026-06-28,2026-06-28,univariate,2026-07-03,5,PRmsl,ensemble,100040.133,Pa
2026-06-28,2026-06-28,multivariate,2026-06-29,1,TMP2m,hqnn,-1895.315,°C
2026-06-28,2026-06-28,multivariate,2026-06-29,1,TMP2m,ensemble,-1895.315,°C
2026-06-28,2026-06-28,multivariate,2026-06-29,1,RH2m,hqnn,28.139,%
2026-06-28,2026-06-28,multivariate,2026-06-29,1,RH2m,ensemble,28.139,%
2026-06-28,2026-06-28,multivariate,2026-06-29,1,PRmsl,hqnn,468979.344,Pa
